key,key:userAccount,name,benefits,web-page,email
sponsor-01,user-account-sponsor-01,Nombre estandar,Beneficios estandar,https://example.com,email@example.com
sponsor-02,user-account-sponsor-02,N,Beneficios estandar,https://example.com,email@example.com
sponsor-03,user-account-sponsor-01,No,Beneficios estandar,https://example.com,email@example.com
sponsor-04,user-account-sponsor-02,abcdefghijklmabcdefghijklmabcdefghijklmabcdefghijklmabcdefghijklmabcdefghij,Beneficios estandar,https://example.com,email@example.com
sponsor-05,user-account-sponsor-01,abcdefghijklmabcdefghijklmabcdefghijklmabcdefghijklmabcdefghijklmabcdefghi,Beneficios estandar,https://example.com,email@example.com
sponsor-06,user-account-sponsor-02,伊尺诶Лорем ипсум,Beneficios estandar,https://example.com,email@example.com
sponsor-07,user-account-sponsor-01,Nombre estandar,B,https://example.com,email@example.com
sponsor-08,user-account-sponsor-02,Nombre estandar,Be,https://example.com,email@example.com
sponsor-09,user-account-sponsor-01,Nombre estandar,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkaaaaaaaaaar,https://example.com,email@example.com
sponsor-10,user-account-sponsor-01,Nombre estandar,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkaaaaaaaaaa,https://example.com,email@example.com
sponsor-11,user-account-sponsor-01,Nombre estandar,伊尺诶Лорем ипсум,https://example.com,email@example.com
sponsor-12,user-account-sponsor-02,Nombre estandar,Beneficios estandar,null,email@example.com
sponsor-13,user-account-sponsor-01,Nombre estandar,Beneficios estandar,http://example.com,email@example.com
sponsor-14,user-account-sponsor-02,Nombre estandar,Beneficios estandar,https://abcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxy.com,email@example.com
sponsor-15,user-account-sponsor-01,Nombre estandar,Beneficios estandar,https://abcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwxyabcdefghijklmnopqrstuvwx.com,email@example.com
sponsor-16,user-account-sponsor-01,Nombre estandar,Beneficios estandar,ftp://example.com,email@example.com
sponsor-17,user-account-sponsor-02,Nombre estandar,Beneficios estandar,https://example.com,null
sponsor-18,user-account-sponsor-01,Nombre estandar,Beneficios estandar,https://example.com,dominio@aed.es
sponsor-19,user-account-sponsor-01,Nombre estandar,Beneficios estandar,https://example.com,a@a.a
