key,code,moment,duration-start,duration-end,amount,project-type,email,link,draft-mode,key:project,key:sponsor
sponsorship-01,SP-000,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-02,A-300,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-02,sponsor-02
sponsorship-03,ETR-460,2021/06/07 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-03,sponsor-01
sponsorship-04,SP-004,2000/01/01 00:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-04,sponsor-01
sponsorship-05,SP-005,2000/01/01 00:01,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-05,sponsor-01
sponsorship-06,SP-006,2022/07/30 00:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-02,sponsor-01
sponsorship-07,SP-007,2022/07/29 23:59,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-08,SP-008,2020/02/29 19:00,2022/10/11 18:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-02
sponsorship-09,SP-009,2021/06/07 19:00,2021/06/07 19:01,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-10,SP-010,2021/06/07 19:00,2021/06/07 19:02,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-11,SP-011,2021/06/07 19:00,2022/10/23 21:00,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
sponsorship-12,SP-012,2021/06/07 19:00,2022/10/23 20:59,2022/11/23 21:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-02
sponsorship-13,SP-013,2021/06/07 19:00,2022/10/11 18:00,2022/11/11 18:00,"EUR 15.75",FINANCIAL,ejemplo@ejemplo.com,https://www.github.com,false,project-01,sponsor-01
